source,feature,source_column
acs_dp02,acs_dp02_dp02_0094e,dp02_0094e
acs_dp02,acs_dp02_dp02_0094m,dp02_0094m
acs_dp02,acs_dp02_dp02_0094pe,dp02_0094pe
acs_dp02,acs_dp02_dp02_0094pm,dp02_0094pm
acs_dp02,acs_dp02_dp02_0095e,dp02_0095e
acs_dp02,acs_dp02_dp02_0095m,dp02_0095m
acs_dp02,acs_dp02_dp02_0095pe,dp02_0095pe
acs_dp02,acs_dp02_dp02_0095pm,dp02_0095pm
acs_dp02,acs_dp02_dp02_0096e,dp02_0096e
acs_dp02,acs_dp02_dp02_0096m,dp02_0096m
acs_dp02,acs_dp02_dp02_0096pe,dp02_0096pe
acs_dp02,acs_dp02_dp02_0096pm,dp02_0096pm
acs_dp02,acs_dp02_dp02_0097e,dp02_0097e
acs_dp02,acs_dp02_dp02_0097m,dp02_0097m
acs_dp02,acs_dp02_dp02_0097pe,dp02_0097pe
acs_dp02,acs_dp02_dp02_0097pm,dp02_0097pm
acs_dp02,acs_dp02_dp02_0098e,dp02_0098e
acs_dp02,acs_dp02_dp02_0098m,dp02_0098m
acs_dp02,acs_dp02_dp02_0098pe,dp02_0098pe
acs_dp02,acs_dp02_dp02_0098pm,dp02_0098pm
acs_dp02,acs_dp02_dp02_0099e,dp02_0099e
acs_dp02,acs_dp02_dp02_0099m,dp02_0099m
acs_dp02,acs_dp02_dp02_0099pe,dp02_0099pe
acs_dp02,acs_dp02_dp02_0099pm,dp02_0099pm
acs_dp02,acs_dp02_dp02_0100e,dp02_0100e
acs_dp02,acs_dp02_dp02_0100m,dp02_0100m
acs_dp02,acs_dp02_dp02_0100pe,dp02_0100pe
acs_dp02,acs_dp02_dp02_0100pm,dp02_0100pm
acs_dp02,acs_dp02_dp02_0101e,dp02_0101e
acs_dp02,acs_dp02_dp02_0101m,dp02_0101m
acs_dp02,acs_dp02_dp02_0101pe,dp02_0101pe
acs_dp02,acs_dp02_dp02_0101pm,dp02_0101pm
acs_dp02,acs_dp02_dp02_0102e,dp02_0102e
acs_dp02,acs_dp02_dp02_0102m,dp02_0102m
acs_dp02,acs_dp02_dp02_0102pe,dp02_0102pe
acs_dp02,acs_dp02_dp02_0102pm,dp02_0102pm
acs_dp02,acs_dp02_dp02_0103e,dp02_0103e
acs_dp02,acs_dp02_dp02_0103m,dp02_0103m
acs_dp02,acs_dp02_dp02_0103pe,dp02_0103pe
acs_dp02,acs_dp02_dp02_0103pm,dp02_0103pm
acs_dp02,acs_dp02_dp02_0104e,dp02_0104e
acs_dp02,acs_dp02_dp02_0104m,dp02_0104m
acs_dp02,acs_dp02_dp02_0104pe,dp02_0104pe
acs_dp02,acs_dp02_dp02_0104pm,dp02_0104pm
acs_dp02,acs_dp02_dp02_0105e,dp02_0105e
